"FisheriesGuild","Year","Metric","Value"
"crustacean",1970,"F/F[MSY]",0.017
"crustacean",1971,"F/F[MSY]",0.015
"crustacean",1972,"F/F[MSY]",0.019
"crustacean",1973,"F/F[MSY]",0.019
"crustacean",1974,"F/F[MSY]",0.022
"crustacean",1975,"F/F[MSY]",0.022
"crustacean",1976,"F/F[MSY]",0.025
"crustacean",1977,"F/F[MSY]",0.05
"crustacean",1978,"F/F[MSY]",0.098
"crustacean",1979,"F/F[MSY]",0.088
"crustacean",1980,"F/F[MSY]",0.101
"crustacean",1981,"F/F[MSY]",0.093
"crustacean",1982,"F/F[MSY]",0.117
"crustacean",1983,"F/F[MSY]",0.195
"crustacean",1984,"F/F[MSY]",0.327
"crustacean",1985,"F/F[MSY]",0.464
"crustacean",1986,"F/F[MSY]",0.291
"crustacean",1987,"F/F[MSY]",0.181
"crustacean",1988,"F/F[MSY]",0.163
"crustacean",1989,"F/F[MSY]",0.185
"crustacean",1990,"F/F[MSY]",0.218
"crustacean",1991,"F/F[MSY]",0.204
"crustacean",1992,"F/F[MSY]",0.187
"crustacean",1993,"F/F[MSY]",0.191
"crustacean",1994,"F/F[MSY]",0.103
"crustacean",1995,"F/F[MSY]",0.074
"crustacean",1996,"F/F[MSY]",0.094
"crustacean",1997,"F/F[MSY]",0.087
"crustacean",1998,"F/F[MSY]",0.132
"crustacean",1999,"F/F[MSY]",0.203
"crustacean",2000,"F/F[MSY]",0.242
"crustacean",2001,"F/F[MSY]",0.166
"crustacean",2002,"F/F[MSY]",0.186
"crustacean",2003,"F/F[MSY]",0.136
"crustacean",2004,"F/F[MSY]",0.107
"crustacean",2005,"F/F[MSY]",0.095
"crustacean",2006,"F/F[MSY]",0.072
"crustacean",2007,"F/F[MSY]",0.078
"crustacean",2008,"F/F[MSY]",0.071
"crustacean",2009,"F/F[MSY]",0.065
"crustacean",2010,"F/F[MSY]",0.059
"crustacean",2011,"F/F[MSY]",0.081
"crustacean",2012,"F/F[MSY]",0.077
"crustacean",2013,"F/F[MSY]",0.067
"crustacean",2014,"F/F[MSY]",0.071
"crustacean",2015,"F/F[MSY]",0.121
"crustacean",2016,"F/F[MSY]",0.084
"crustacean",2017,"F/F[MSY]",0.083
"crustacean",2018,"F/F[MSY]",0.122
"crustacean",1970,"SSB/MSY~B[trigger]",3.22
"crustacean",1971,"SSB/MSY~B[trigger]",3.4
"crustacean",1972,"SSB/MSY~B[trigger]",3.52
